customer_id,date,platform,text
CUST-00001,2025-04-03,social,Support is slow and not helpful.
CUST-00001,2026-02-11,social,Great service and fast support response.
CUST-00001,2025-05-29,social,Need an update on my support ticket.
CUST-00002,2025-10-12,social,Requesting more information about pricing.
CUST-00002,2025-07-21,social,Support is slow and not helpful.
CUST-00002,2025-05-23,social,Very satisfied with product quality.
CUST-00002,2025-01-11,social,Team solved my issue quickly.
CUST-00002,2026-02-28,social,Great service and fast support response.
CUST-00002,2025-03-04,social,Very satisfied with product quality.
CUST-00002,2025-03-30,social,Very satisfied with product quality.
CUST-00002,2025-08-15,social,Very satisfied with product quality.
CUST-00003,2025-10-24,social,Question about product features.
CUST-00003,2025-07-29,social,Question about product features.
CUST-00003,2025-04-15,social,Need an update on my support ticket.
CUST-00004,2025-09-24,social,Great service and fast support response.
CUST-00004,2025-08-19,social,Great service and fast support response.
CUST-00004,2025-09-20,social,Great service and fast support response.
CUST-00005,2026-01-10,social,Great service and fast support response.
CUST-00005,2025-08-18,social,"Terrible experience, issue still unresolved."
CUST-00005,2026-01-14,social,I am disappointed with recurring bugs.
CUST-00005,2025-07-13,social,Great service and fast support response.
CUST-00005,2025-10-17,social,Need an update on my support ticket.
CUST-00006,2026-01-11,social,Very satisfied with product quality.
CUST-00006,2025-10-23,social,Team solved my issue quickly.
CUST-00006,2025-05-24,social,Need an update on my support ticket.
CUST-00006,2025-08-19,social,"Terrible experience, issue still unresolved."
CUST-00007,2025-11-23,social,Support is slow and not helpful.
CUST-00007,2025-07-24,social,Question about product features.
CUST-00007,2025-05-17,social,"Terrible experience, issue still unresolved."
CUST-00007,2026-01-06,social,Question about product features.
CUST-00008,2025-05-24,social,Requesting more information about pricing.
CUST-00008,2025-12-03,social,Need an update on my support ticket.
CUST-00008,2026-01-15,social,Question about product features.
CUST-00008,2026-01-12,social,Very satisfied with product quality.
CUST-00008,2025-08-22,social,Great service and fast support response.
CUST-00008,2025-10-20,social,Need an update on my support ticket.
CUST-00008,2025-10-02,social,"Terrible experience, issue still unresolved."
CUST-00009,2025-07-06,social,Support is slow and not helpful.
CUST-00011,2025-09-26,social,Great service and fast support response.
CUST-00011,2026-02-09,social,Very satisfied with product quality.
CUST-00011,2026-03-02,social,I am disappointed with recurring bugs.
CUST-00012,2025-04-11,social,I am disappointed with recurring bugs.
CUST-00013,2025-12-24,social,Very satisfied with product quality.
CUST-00013,2025-02-08,social,"Terrible experience, issue still unresolved."
CUST-00013,2025-05-11,social,Question about product features.
CUST-00013,2025-06-04,social,Great service and fast support response.
CUST-00014,2025-09-29,social,"Terrible experience, issue still unresolved."
CUST-00014,2025-02-26,social,Support is slow and not helpful.
CUST-00014,2025-08-24,social,Need an update on my support ticket.
CUST-00014,2026-03-01,social,Need an update on my support ticket.
CUST-00014,2025-05-06,social,I am disappointed with recurring bugs.
CUST-00014,2025-04-20,social,Question about product features.
CUST-00015,2025-03-02,social,Team solved my issue quickly.
CUST-00015,2025-05-17,social,Team solved my issue quickly.
CUST-00016,2025-01-21,social,"Terrible experience, issue still unresolved."
CUST-00016,2025-12-11,social,Very satisfied with product quality.
CUST-00016,2025-06-08,social,Team solved my issue quickly.
CUST-00016,2025-06-06,social,Need an update on my support ticket.
CUST-00016,2025-11-06,social,Requesting more information about pricing.
CUST-00016,2025-11-06,social,Support is slow and not helpful.
CUST-00016,2025-08-28,social,Very satisfied with product quality.
CUST-00016,2025-09-01,social,"Terrible experience, issue still unresolved."
CUST-00017,2025-04-18,social,Great service and fast support response.
CUST-00017,2025-08-23,social,Question about product features.
CUST-00017,2025-10-28,social,Requesting more information about pricing.
CUST-00017,2025-07-11,social,"Terrible experience, issue still unresolved."
CUST-00017,2026-01-05,social,Need an update on my support ticket.
CUST-00017,2025-05-24,social,Question about product features.
CUST-00018,2025-12-10,social,Very satisfied with product quality.
CUST-00018,2025-04-17,social,Requesting more information about pricing.
CUST-00019,2025-08-11,social,Team solved my issue quickly.
CUST-00019,2025-12-18,social,Great service and fast support response.
CUST-00019,2025-02-16,social,Very satisfied with product quality.
CUST-00020,2025-04-14,social,Question about product features.
CUST-00020,2025-06-01,social,Need an update on my support ticket.
CUST-00020,2025-08-03,social,Need an update on my support ticket.
CUST-00020,2025-04-21,social,Question about product features.
CUST-00020,2026-03-01,social,Support is slow and not helpful.
CUST-00020,2025-05-29,social,Need an update on my support ticket.
CUST-00022,2025-04-19,social,Question about product features.
CUST-00022,2025-09-17,social,Question about product features.
CUST-00022,2026-02-07,social,Support is slow and not helpful.
CUST-00022,2025-12-03,social,Great service and fast support response.
CUST-00022,2025-11-23,social,Great service and fast support response.
CUST-00022,2025-04-17,social,Team solved my issue quickly.
CUST-00022,2026-02-17,social,Great service and fast support response.
CUST-00024,2026-01-08,social,Team solved my issue quickly.
CUST-00024,2025-05-21,social,Requesting more information about pricing.
CUST-00024,2025-02-28,social,Great service and fast support response.
CUST-00024,2025-03-27,social,Question about product features.
CUST-00024,2025-07-27,social,Support is slow and not helpful.
CUST-00024,2026-02-11,social,I am disappointed with recurring bugs.
CUST-00025,2026-01-17,social,Team solved my issue quickly.
CUST-00026,2025-08-08,social,Great service and fast support response.
CUST-00026,2025-08-07,social,Great service and fast support response.
CUST-00026,2025-03-27,social,Requesting more information about pricing.
CUST-00026,2025-03-07,social,Team solved my issue quickly.
CUST-00026,2026-01-02,social,Support is slow and not helpful.
CUST-00026,2026-03-04,social,Question about product features.
CUST-00026,2025-02-05,social,Very satisfied with product quality.
CUST-00027,2026-02-16,social,Team solved my issue quickly.
